County Name,Catholic Church,Non-Religious,Non-denominational Christian Churches,Southern Baptist Convention,United Methodist Church
Hernando County,0.20752127085314756,0.6331079865306017,0.053939284888054904,0.015751998560522326,0.011284476775570007
Highlands County,0.16091272781152763,0.48431866449350525,0.1231787425297575,0.07188225416111028,0.030364992344544872
Hillsborough County,0.26517952926572963,0.3989026978370447,0.10895611750408628,0.07882860356688282,0.030924219153533248
Holmes County,0.00539357858851066,0.6043352159975577,0.030529690123645245,0.19345646975016537,0.025339642802625552
Indian River County,0.2995468996420257,0.4735900067589557,0.030540466117605827,0.024751545798182593,0.01938818935088993
Jackson County,0.013102559225681015,-0.14025714961114888,0.09192924618018132,0.19415034130053466,0.02935395929753376
Jefferson County,0.017022742935906273,0.0,0.18607856650585802,0.18042729152308754,0.05740868366643694
Lafayette County,0.060782883539995135,0.5354972039873571,0.02674446875759786,0.3097495745198152,0.006442985655239484
Lake County,0.1593047119982498,0.5926538457531592,0.0768838096031837,0.04139536821927513,0.024461136171853026
Lee County,0.18778636790208486,-0.09211991502993522,0.09381957934970335,0.020398989513973044,0.014778752454582017
Leon County,0.06842962648614981,-0.04998583142940194,0.13819396436662812,0.07794372309187605,0.0372144915434055
Levy County,0.030828381684725622,0.5671443551205873,0.06757543982290574,0.20438075265058836,0.022672725154374927
Liberty County,0.0,0.0,0.03762227238525207,0.20403812390268372,0.01417105593177828
Madison County,0.015805877114870883,-0.010143095136222913,0.0,0.22812778272484416,0.061943455031166515
Manatee County,0.12876585524505266,0.6825548522678941,0.06139451102048985,0.03189312251382252,0.01725500988216457
Marion County,0.10207816806239825,0.19258908315175183,0.0809506581397576,0.04792396011790119,0.02056354214329038
Martin County,0.30282583585283185,-0.14477385247280505,0.09638265238494992,0.024931989320271915,0.02701491501031995
Miami-Dade County,0.29890327330224997,0.48639168366480157,0.07238966202488964,0.026994185657016317,0.004181337620897731
Monroe County,0.3374520356203393,0.47820788184472807,0.03291744093443058,0.026099862441779087,0.01747230735815817
Nassau County,0.10148087480077918,0.5911767310076146,0.06983796706215689,0.12392642110855322,0.019977421639808746
Okaloosa County,0.08467978154468318,0.4727450535744657,0.1344463971880492,0.11127331481376496,0.09859780410832057
Okeechobee County,0.05662899808293815,0.6215820805165977,0.12107759055594794,0.09012713147008375,0.01314196347492685
Orange County,0.15700660462071686,-0.0760546843136698,0.11476122939377918,0.04273281917438045,0.012747673276882148
Osceola County,0.23279455353834755,0.525523856572393,0.09517413856984068,0.024636182125066897,0.005153657733316866
Palm Beach County,0.19164905833100454,0.6056081292542308,0.05391400966766319,0.024649659460484617,0.00786628521415824
Pasco County,0.13320021142890703,0.705482024093641,0.05266145925099352,0.018364771815174118,0.010313388183829248
Pinellas County,0.24208039353273408,0.5064127360138129,0.06538999298305612,0.028388907598422282,0.030613893965949577
Polk County,0.09487398040951885,0.2429824996977975,0.1072594014724583,0.05949553545568143,0.01798368655230151
Putnam County,0.07971795256474952,0.559021289944218,0.07364875001704832,0.1464246259598205,0.016270918290803453
Santa Rosa County,0.08316489361702127,0.5400265957446808,0.06693617021276596,0.1955531914893617,0.05160638297872341
Sarasota County,0.2707036308253803,0.45527942010018296,0.11132564987580817,0.029283005304074138,0.019764703713773542
Seminole County,0.2007662639957864,0.46694743191124255,0.14198820870924445,0.03663115687173998,0.015932684302631804
St. Johns County,0.12979793361982261,0.6357977507543202,0.059270366645332355,0.06429916796196397,0.008565420133491817
St. Lucie County,0.201241700230237,0.6391293518737888,0.04677030368196922,0.02031431296434668,0.006597291829928378
Sumter County,0.1233352857759418,0.6971067883346692,0.022273259757075035,0.03847339540045625,0.044970405080461184
Suwannee County,0.041680084648295534,0.49560656944380554,0.08464829553296223,0.23098863688641486,0.019482909325113863
Taylor County,0.014910992842723436,0.0,0.08304276013947513,0.20159662323362085,0.023719948614424665
Union County,0.0,0.7551247909828451,0.09103858301851737,0.07289279742367002,0.0008670341239858798
Volusia County,0.12979840771177667,0.6035953846403983,0.08670329134321995,0.02526271671758111,0.016829767515802747
Wakulla County,0.009803340836393792,0.7978616277692216,0.03731785333491292,0.06450657505034949,0.021946451842198792
Walton County,0.09832016466370094,0.635920589602284,0.07184117920456809,0.08658123630569019,0.04047540003983799
Washington County,0.011138320562445691,0.0,0.03791768702109171,0.17920056876530532,0.013587171182557863
